time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2008-05-17,-3.625,38.625,11.925011,2.8192573,5.9028724e-07,0.29362231,55.87365409290349
2008-05-18,-3.625,38.625,11.608796,1.4382027,2.0933149e-07,0.2876028,55.82011546249743
2008-05-19,-3.625,38.625,10.029319,1.5522317,2.9282413e-07,0.28223872,55.76657683209137
2008-05-20,-3.625,38.625,9.929861,0.30361834,3.7707334e-08,0.27698764,55.7130382016853
2008-05-21,-3.625,38.625,10.209678,0.93065286,2.482234e-07,0.27193692,55.65949957127924
2008-05-22,-3.625,38.625,15.599919,0.0010635549,0.0,0.2668089,55.60596094087318
2008-05-23,-3.625,38.625,13.710208,9.672374,2.9490513e-06,0.26849285,55.552422310467115
2008-05-24,-3.625,38.625,14.499079,8.929725,2.3639457e-06,0.28763175,55.498883680061056
2008-05-25,-3.625,38.625,11.555953,4.185334,1.3833258e-06,0.29367992,54.712086502048706
2008-05-26,-3.625,38.625,11.473816,0.20898096,4.6541885e-08,0.29068667,53.92528932403635
2008-05-27,-3.625,38.625,13.092313,1.8773309,4.064887e-07,0.28750643,53.13849214602399
2008-05-28,-3.625,38.625,11.169875,1.0467728,2.1051605e-07,0.28199813,52.35169496801164
2008-05-29,-3.625,38.625,7.761279,1.2463846,3.3365717e-07,0.27849808,51.56489778999929
2008-05-30,-3.625,38.625,8.079922,6.80269,1.9101585e-06,0.28703326,50.778100611986936
2008-05-31,-3.625,38.625,13.268961,3.5464046,7.8647383e-07,0.2972833,49.99130343397458
2008-06-01,-3.625,38.625,13.285361,0.5171434,1.9017286e-07,0.29090464,49.20450625596223
2008-06-02,-3.625,38.625,13.970301,0.16015854,2.9358011e-08,0.28034565,49.49595848167384
2008-06-03,-3.625,38.625,13.949915,-8.326673e-14,3.469447e-18,0.2689577,49.78741070738545
2008-06-04,-3.625,38.625,12.13135,0.03848488,3.469447e-18,0.25715706,50.078862933097064
2008-06-05,-3.625,38.625,15.584897,0.0020110013,3.469447e-18,0.248878,50.37031515880867
2008-06-06,-3.625,38.625,16.06272,-8.326673e-14,3.469447e-18,0.24029152,50.66176738452028
2008-06-07,-3.625,38.625,15.849173,-8.326673e-14,3.469447e-18,0.23195727,50.9532196102319
2008-06-08,-3.625,38.625,14.559655,7.2469945,1.2942129e-06,0.23645362,51.24467183594351
2008-06-09,-3.625,38.625,9.666028,8.79097,1.8429109e-06,0.25830507,51.536124061655116
2008-06-10,-3.625,38.625,12.004048,0.5674322,5.3518942e-08,0.26431137,49.345176322040736
2008-06-11,-3.625,38.625,12.182482,0.08662374,3.469447e-18,0.2528686,47.154228582426356
2008-06-12,-3.625,38.625,12.840764,0.0029480294,3.469447e-18,0.24539022,44.963280842811976
2008-06-13,-3.625,38.625,15.701825,0.0005360053,3.469447e-18,0.23694964,42.772333103197596
2008-06-14,-3.625,38.625,15.670315,-8.326673e-14,3.469447e-18,0.22842363,40.58138536358321
2008-06-15,-3.625,38.625,13.59763,-8.326673e-14,3.469447e-18,0.21998248,38.39043762396883
2008-06-16,-3.625,38.625,11.280438,0.20362012,3.469447e-18,0.21533819,36.19948988435445
2008-06-17,-3.625,38.625,10.870044,0.015821973,3.469447e-18,0.21387093,34.00854214474007
2008-06-18,-3.625,38.625,15.550508,-8.326673e-14,3.469447e-18,0.20972948,33.75338321482694
2008-06-19,-3.625,38.625,15.406345,-8.326673e-14,3.469447e-18,0.20898184,33.4982242849138
2008-06-20,-3.625,38.625,14.247402,0.007648872,3.469447e-18,0.20388529,33.243065355000674
2008-06-21,-3.625,38.625,14.799173,-8.326673e-14,3.469447e-18,0.1959713,32.98790642508754
2008-06-22,-3.625,38.625,14.108319,-8.326673e-14,3.469447e-18,0.19019872,32.73274749517441
2008-06-23,-3.625,38.625,13.991015,1.2665999,4.0256234e-07,0.19113469,32.47758856526127
2008-06-24,-3.625,38.625,14.700322,0.0040259287,3.469447e-18,0.18998997,32.22242963534814
2008-06-25,-3.625,38.625,14.28176,-8.326673e-14,3.469447e-18,0.18643263,31.96727070543501
2008-06-26,-3.625,38.625,14.273625,-8.326673e-14,3.469447e-18,0.18153122,31.693206962060042
2008-06-27,-3.625,38.625,14.036878,-8.326673e-14,3.469447e-18,0.17708983,31.41914321868508
2008-06-28,-3.625,38.625,13.960687,-8.326673e-14,3.469447e-18,0.17330445,31.145079475310112
2008-06-29,-3.625,38.625,13.314556,0.36984363,3.469447e-18,0.17118303,30.871015731935145
2008-06-30,-3.625,38.625,13.298633,0.014740147,3.469447e-18,0.1690292,30.59695198856018
2008-07-01,-3.625,38.625,13.5615,0.0,0.0,0.1663008,30.32288824518521
2008-07-02,-3.625,38.625,13.352932,0.0,0.0,0.16331525,30.048824501810248
2008-07-03,-3.625,38.625,13.997179,0.0,0.0,0.16063046,29.77476075843528
2008-07-04,-3.625,38.625,13.7979765,0.0,0.0,0.15753286,29.82944250106811
2008-07-05,-3.625,38.625,14.272486,0.0,0.0,0.15535946,29.884124243700942
2008-07-06,-3.625,38.625,14.407754,0.0,0.0,0.15367466,29.938805986333772
2008-07-07,-3.625,38.625,13.666562,0.0,0.0,0.15135872,29.993487728966606
2008-07-08,-3.625,38.625,13.214136,0.0,0.0,0.14901367,30.048169471599437
2008-07-09,-3.625,38.625,13.543525,0.0,0.0,0.14759168,30.102851214232267
2008-07-10,-3.625,38.625,12.56521,0.0,0.0,0.14571953,30.157532956865097
2008-07-11,-3.625,38.625,13.344141,0.0,0.0,0.14445698,30.212214699497927
2008-07-12,-3.625,38.625,12.308406,0.090074934,0.0,0.14306572,29.787786166976996
2008-07-13,-3.625,38.625,13.383162,0.0,0.0,0.14194961,29.36335763445607
2008-07-14,-3.625,38.625,7.441335,1.0641136,1.4563325e-07,0.14348035,28.938929101935138
2008-07-15,-3.625,38.625,13.451406,0.98856455,1.1484309e-07,0.15129346,28.51450056941421
2008-07-16,-3.625,38.625,13.051553,1.3616557,1.2064977e-07,0.1578027,28.09007203689328
2008-07-17,-3.625,38.625,14.598397,0.060329005,0.0,0.15959843,27.665643504372348
2008-07-18,-3.625,38.625,13.596395,0.0,0.0,0.15626219,27.24121497185142
2008-07-19,-3.625,38.625,12.863458,0.23831777,4.0545657e-08,0.15320995,26.81678643933049
2008-07-20,-3.625,38.625,11.803355,0.0,0.0,0.14966783,26.636705216434265
2008-07-21,-3.625,38.625,13.108947,0.0,0.0,0.14756069,26.456623993538045
2008-07-22,-3.625,38.625,12.88424,0.0,0.0,0.14558883,26.27654277064182
2008-07-23,-3.625,38.625,12.454717,0.0891659,0.0,0.14423826,26.096461547745598
2008-07-24,-3.625,38.625,12.539948,0.0,0.0,0.14299479,25.916380324849374
2008-07-25,-3.625,38.625,13.023774,0.0,0.0,0.14291568,25.73629910195315
2008-07-26,-3.625,38.625,13.038456,0.0,0.0,0.14293256,25.55621787905693
