time,longitude,latitude,snr_[MJ/m2],tp_[mm]
2010-09-01,8.125,48.125,8.275084,0.0007224689
2010-09-02,8.125,48.125,10.27442,0.0
2010-09-03,8.125,48.125,9.251056,0.022471325
2010-09-04,8.125,48.125,6.768943,0.42224076
2010-09-05,8.125,48.125,9.148104,0.0033279255
2010-09-06,8.125,48.125,10.351734,0.49971235
2010-09-07,8.125,48.125,2.419281,19.420322
2010-09-08,8.125,48.125,3.6494448,8.371997
2010-09-09,8.125,48.125,8.296703,2.2913516
2010-09-10,8.125,48.125,6.4745755,0.07306073
2010-09-11,8.125,48.125,9.409308,0.0
2010-09-12,8.125,48.125,9.501545,23.228685
2010-09-13,8.125,48.125,6.1734567,1.907535
2010-09-14,8.125,48.125,4.465286,0.0
2010-09-15,8.125,48.125,0.98675233,6.302322
2010-09-16,8.125,48.125,7.0545716,3.5027704
2010-09-17,8.125,48.125,5.8800955,0.24486409
2010-09-18,8.125,48.125,5.8870645,0.004007842
2010-09-19,8.125,48.125,6.7415,0.002759087
2010-09-20,8.125,48.125,7.864792,0.0
2010-09-21,8.125,48.125,7.7662444,0.0
2010-09-22,8.125,48.125,7.438713,0.0
2010-09-23,8.125,48.125,6.8749127,0.008322946
2010-09-24,8.125,48.125,2.4109235,6.8955636
2010-09-25,8.125,48.125,0.9866255,8.884933
2010-09-26,8.125,48.125,3.6863756,1.0445842
2010-09-27,8.125,48.125,3.2839556,0.029689752
2010-09-28,8.125,48.125,2.34596,0.6691486
2010-09-29,8.125,48.125,1.2640663,0.3408373
2010-09-30,8.125,48.125,1.4268124,3.7132592
2010-10-01,8.125,48.125,5.3364778,3.1530178
2010-10-02,8.125,48.125,3.764948,0.6549732
2010-10-03,8.125,48.125,5.922961,0.0
2010-10-04,8.125,48.125,6.045773,0.86038405
2010-10-05,8.125,48.125,3.4602218,10.498975
2010-10-06,8.125,48.125,5.276519,0.0027718616
2010-10-07,8.125,48.125,5.607953,0.0025388482
2010-10-08,8.125,48.125,5.506263,0.0016310948
2010-10-09,8.125,48.125,5.118434,0.0029353043
2010-10-10,8.125,48.125,3.909291,0.0076651466
2010-10-11,8.125,48.125,3.423145,0.0
